buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
2450.0,49.0,100.0,0.0,11.231966054392142,4900,2450.0,500.96794605255127
2500.0,50.0,100.0,0.0,11.321303929659903,5000,2500.0,509.800852060318
2550.0,51.0,100.0,0.0,11.289159833012214,5100,2550.0,518.6589086055756
2600.0,52.0,100.0,7.0,11.746359641582202,5200,2600.0,527.1721856594086
2650.0,53.0,100.0,0.0,11.326946324022838,5300,2650.0,536.0006923675537
2700.0,54.0,100.0,0.0,11.639260147469892,5400,2700.0,544.5923051834106
2750.0,55.0,100.0,0.0,11.532001086909931,5500,2750.0,553.2638280391693
2800.0,56.0,100.0,0.0,11.138797334498935,5600,2800.0,562.2414591312408
2850.0,57.0,100.0,0.0,11.462409751338667,5700,2850.0,570.9656298160553
2900.0,58.0,100.0,0.0,11.36838183979235,5800,2900.0,579.7619574069977
2950.0,59.0,100.0,0.0,10.754786411294303,5900,2950.0,589.0601444244385
3000.0,60.0,100.0,0.0,11.113733156720631,6000,3000.0,598.0580224990845
3050.0,61.0,100.0,15.0,2.9264652947697725,6100,3050.0,632.2289397716522
3100.0,62.0,100.0,0.0,11.701908321830825,6200,3100.0,640.7745554447174
3150.0,63.0,100.0,0.0,11.506625829975945,6300,3150.0,649.4652018547058
3200.0,64.0,100.0,0.0,11.561079406813525,6400,3200.0,658.1149144172668
3250.0,65.0,100.0,0.0,11.478159991107123,6500,3250.0,666.827113866806
3300.0,66.0,100.0,0.0,11.555151102541585,6600,3300.0,675.4812643527985
3350.0,67.0,100.0,11.0,11.584801102360043,6700,3350.0,684.1132652759552
3400.0,68.0,100.0,0.0,11.618704203940295,6800,3400.0,692.7200784683228
3450.0,69.0,100.0,0.0,11.336564948146542,6900,3450.0,701.5410943031311
3500.0,70.0,100.0,0.0,11.420965161174518,7000,3500.0,710.2969226837158
3550.0,71.0,100.0,0.0,11.450984683274905,7100,3550.0,719.0297975540161
3600.0,72.0,100.0,13.0,11.542985187658575,7200,3600.0,727.6930692195892
3650.0,73.0,100.0,14.0,11.154347400293306,7300,3650.0,736.6581847667694
3700.0,74.0,100.0,11.0,11.092548175367087,7400,3700.0,745.6732470989227
3750.0,75.0,100.0,0.0,11.362466004131747,7500,3750.0,754.4741551876068
3800.0,76.0,100.0,0.0,10.998538249692462,7600,3800.0,763.5662739276886
3850.0,77.0,100.0,7.0,11.299623276204954,7700,3850.0,772.4161279201508
3900.0,78.0,100.0,0.0,11.29722315850159,7800,3900.0,781.2678618431091
3950.0,79.0,100.0,0.0,11.289853875627667,7900,3950.0,790.1253736019135
4000.0,80.0,100.0,0.0,11.32115175003845,8000,4000.0,798.9583985805511
4050.0,81.0,100.0,0.0,2.917727312483122,8100,4050.0,833.2316505908966
4100.0,82.0,100.0,12.0,11.326330906071853,8200,4100.0,842.0606360435486
4150.0,83.0,100.0,0.0,11.319913685571784,8300,4150.0,850.8946268558502
4200.0,84.0,100.0,0.0,11.53942933101527,8400,4200.0,859.5605676174164
4250.0,85.0,100.0,0.0,11.576629246926675,8500,4250.0,868.1986618041992
4300.0,86.0,100.0,0.0,11.478134548084768,8600,4300.0,876.9108798503876
4350.0,87.0,100.0,0.0,11.386285059933966,8700,4350.0,885.6933772563934
4400.0,88.0,100.0,0.0,11.394082591277536,8800,4400.0,894.4698641300201
4450.0,89.0,100.0,0.0,11.344114401402111,8900,4450.0,903.2850089073181
4500.0,90.0,100.0,14.0,11.180015185486438,9000,4500.0,912.229542016983
4550.0,91.0,100.0,0.0,11.113947544379831,9100,4550.0,921.2272465229034
4600.0,92.0,100.0,0.0,11.559313943534887,9200,4600.0,929.8782796859741
4650.0,93.0,100.0,0.0,11.576359893928043,9300,4650.0,938.5165750980377
4700.0,94.0,100.0,0.0,11.503674422545195,9400,4700.0,947.2094509601593
4750.0,95.0,100.0,0.0,11.419205542808422,9500,4750.0,955.9666287899017
4800.0,96.0,100.0,0.0,11.115679440255592,9600,4800.0,964.9629311561584
4850.0,97.0,100.0,0.0,10.986765286475512,9700,4850.0,974.0647919178009
4900.0,98.0,100.0,13.0,10.970844960892975,9800,4900.0,983.1798613071442
4950.0,99.0,100.0,0.0,11.3819821085713,9900,4950.0,991.9656789302826
5000.0,100.0,100.0,0.0,11.233527931037244,10000,5000.0,1000.8676028251648
5050.0,101.0,100.0,0.0,2.91094443063531,10100,5050.0,1035.2207162380219
5100.0,102.0,100.0,0.0,11.497008088987082,10200,5100.0,1043.918632030487
5150.0,103.0,100.0,9.0,11.672308522894879,10300,5150.0,1052.4859187602997
5200.0,104.0,100.0,0.0,11.553703791392365,10400,5200.0,1061.1411530971527
5250.0,105.0,100.0,0.0,11.390559404305515,10500,5250.0,1069.920354127884
5300.0,106.0,100.0,17.0,11.348139751546242,10600,5300.0,1078.7323722839355
5350.0,107.0,100.0,0.0,11.440521577962908,10700,5350.0,1087.4732336997986
5400.0,108.0,100.0,14.0,11.174066875859307,10800,5400.0,1096.4225277900696
5450.0,109.0,100.0,11.0,11.144690967949087,10900,5450.0,1105.3954112529755
5500.0,110.0,100.0,0.0,11.077419954274752,11000,5500.0,1114.4227848052979
5550.0,111.0,100.0,0.0,11.70760421050187,11100,5550.0,1122.9642434120178
5600.0,112.0,100.0,17.0,11.411096359016804,11200,5600.0,1131.7276442050934
5650.0,113.0,100.0,12.0,11.403456590127487,11300,5650.0,1140.4969165325165
5700.0,114.0,100.0,0.0,11.417697596784242,11400,5700.0,1149.2552514076233
5750.0,115.0,100.0,12.0,11.48463277755372,11500,5750.0,1157.9625396728516
